date,AQI,grade,PM25,PM10,SO2,CO,NO2,O3_8h
2019-06-01,63,良,44,54,8,0.5,31,115
2019-06-02,95,良,19,32,8,0.4,26,154
2019-06-03,142,轻度污染,30,43,8,0.5,28,206
2019-06-04,151,中度污染,32,52,5,0.5,30,216
2019-06-05,120,轻度污染,31,52,3,0.5,27,181
2019-06-06,47,优,16,34,4,0.5,20,94
2019-06-07,86,良,18,28,4,0.5,20,143
2019-06-08,115,轻度污染,24,40,4,0.5,20,176
2019-06-09,122,轻度污染,24,37,3,0.5,17,184
2019-06-10,81,良,37,62,4,0.7,30,137
2019-06-11,91,良,26,40,4,0.5,24,149
2019-06-12,73,良,18,32,4,0.4,21,127
2019-06-13,48,优,21,31,4,0.5,26,95
2019-06-14,83,良,21,32,6,0.5,26,139
2019-06-15,189,中度污染,42,70,8,0.7,41,254
2019-06-16,164,中度污染,65,95,8,0.7,44,229
2019-06-17,95,良,30,61,7,0.5,33,154
