date,AQI,grade,PM25,PM10,SO2,CO,NO2,O3_8h
2013-12-02,223,重度污染,173,219,65,1.8,111,31
2013-12-03,246,重度污染,196,222,51,1.8,125,33
2013-12-04,260,重度污染,210,265,31,2.3,111,52
2013-12-05,305,严重污染,255,288,40,2.3,126,52
2013-12-06,412,严重污染,368,373,40,2.9,105,12
2013-12-07,293,重度污染,243,285,27,2.4,94,84
2013-12-08,242,重度污染,192,215,27,1.6,92,34
2013-12-09,269,重度污染,219,319,31,2.1,86,24
2013-12-10,118,轻度污染,89,119,36,1.2,70,30
2013-12-11,117,轻度污染,89,128,33,1.3,74,32
2013-12-12,163,中度污染,124,174,44,1.5,93,30
2013-12-13,222,重度污染,172,232,41,1.6,92,44
2013-12-14,90,良,67,96,24,1.0,77,26
2013-12-15,139,轻度污染,106,131,22,1.1,62,58
2013-12-16,50,优,31,50,13,0.7,44,41
2013-12-17,46,优,32,34,11,0.7,40,28
2013-12-18,100,良,75,87,25,0.9,48,36
2013-12-19,145,轻度污染,111,134,36,1.2,57,36
2013-12-20,250,重度污染,200,237,63,2.0,86,21
2013-12-21,120,轻度污染,91,100,48,1.1,69,48
2013-12-22,126,轻度污染,96,117,38,1.1,71,45
2013-12-23,139,轻度污染,106,132,32,1.4,79,41
2013-12-24,222,重度污染,172,215,64,1.9,90,32
2013-12-25,243,重度污染,193,250,54,2.4,102,36
2013-12-26,312,严重污染,262,315,66,2.4,105,19
2013-12-27,69,良,50,72,32,0.8,51,38
2013-12-28,103,轻度污染,77,98,35,1.1,69,36
2013-12-29,161,中度污染,123,143,47,1.6,77,37
2013-12-30,165,中度污染,126,154,48,1.4,86,56
2013-12-31,105,轻度污染,79,102,33,1.1,82,76
2014-01-01,140,轻度污染,107,124,35,1.3,96,74
2014-01-02,187,中度污染,141,150,35,1.5,114,56
2014-01-03,235,重度污染,185,173,61,1.9,126,23
2014-01-04,191,中度污染,144,166,43,1.5,71,20
2014-01-05,138,轻度污染,105,119,37,1.1,80,30
2014-01-06,56,良,40,51,20,0.6,57,63
2014-01-07,83,良,61,59,16,0.7,63,40
2014-01-08,83,良,61,49,13,0.8,45,51
2014-01-09,66,良,48,62,25,0.7,46,50
2014-01-10,76,良,56,76,21,0.8,64,57
2014-01-11,91,良,68,68,16,0.9,72,18
2014-01-12,165,中度污染,126,97,31,1.2,69,50
2014-01-13,102,轻度污染,77,83,22,0.7,40,53
2014-01-14,49,优,34,42,21,0.6,52,61
